
---------- Begin Simulation Statistics ----------
simSeconds                                  14.768883                       # Number of seconds simulated (Second)
simTicks                                 14768882797000                       # Number of ticks simulated (Tick)
finalTick                                14768882797000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  60634.13                       # Real time elapsed on the host (Second)
hostTickRate                                243573743                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1115148                       # Number of bytes of host memory used (Byte)
simInsts                                   8988253217                       # Number of instructions simulated (Count)
simOps                                    17160553451                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   148238                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283018                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                      14768881998                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.643131                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.608594                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     19614157081                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3353250                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    19766119319                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               42421512                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           2456956840                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        4476932584                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             2241323                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         14336057575                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.378770                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.058504                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                8513369419     59.38%     59.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1122168428      7.83%     67.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1148244140      8.01%     75.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 950512553      6.63%     81.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                1000200226      6.98%     88.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 666432610      4.65%     93.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 495091649      3.45%     96.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 327897296      2.29%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 112141254      0.78%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           14336057575                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               227558682     53.35%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     53.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     53.35% # attempts to use FU when none available (Count)
