
---------- Begin Simulation Statistics ----------
simSeconds                                   0.594732                       # Number of seconds simulated (Second)
simTicks                                 594731876000                       # Number of ticks simulated (Tick)
finalTick                                594731876000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3940.76                       # Real time elapsed on the host (Second)
hostTickRate                                150918026                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     833012                       # Number of bytes of host memory used (Byte)
simInsts                                    754227697                       # Number of instructions simulated (Count)
simOps                                     1465059500                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   191391                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     371771                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        594731877                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.788531                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.268181                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1544733084                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   395359                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1517206670                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 255083                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             80068929                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         166988095                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 643                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           579577987                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.617778                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.423470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 187490417     32.35%     32.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  54162904      9.35%     41.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  59799277     10.32%     52.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  65645761     11.33%     63.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  63488297     10.95%     74.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  54044420      9.32%     83.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  53316851      9.20%     92.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  30608945      5.28%     98.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11021115      1.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             579577987                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                21309586     88.30%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     2      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.30% # attempts to use FU when none available (Count)
