
---------- Begin Simulation Statistics ----------
simSeconds                                   0.786263                       # Number of seconds simulated (Second)
simTicks                                 786263258000                       # Number of ticks simulated (Tick)
finalTick                                786263258000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5185.57                       # Real time elapsed on the host (Second)
hostTickRate                                151625107                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     889092                       # Number of bytes of host memory used (Byte)
simInsts                                   1245990337                       # Number of instructions simulated (Count)
simOps                                     2072814801                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240280                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     399727                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        786263259                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.631035                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.584699                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2116053195                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    11718                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     2102382657                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 297485                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             43250106                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          79144645                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2613                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           780711185                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.692907                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.411287                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 211244764     27.06%     27.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100392916     12.86%     39.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  92251303     11.82%     51.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  95060705     12.18%     63.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  97509236     12.49%     76.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  66313541      8.49%     84.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  50972147      6.53%     91.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  30865095      3.95%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  36101478      4.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             780711185                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 8888689     63.17%     63.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     63.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     63.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                655774      4.66%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     67.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 910274      6.47%     74.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     74.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     12      0.00%     74.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 48161      0.34%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     74.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     74.64% # attempts to use FU when none available (Count)
