
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000286                       # Number of seconds simulated (Second)
simTicks                                    285510000                       # Number of ticks simulated (Tick)
finalTick                                   285510000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.21                       # Real time elapsed on the host (Second)
hostTickRate                                235823501                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     833812                       # Number of bytes of host memory used (Byte)
simInsts                                       151986                       # Number of instructions simulated (Count)
simOps                                         296655                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   125518                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     244991                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           285511                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.878535                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.532330                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          344244                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1473                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         331696                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    405                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                49048                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             76153                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 444                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              204583                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.621327                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.255641                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    113368     55.41%     55.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     16391      8.01%     63.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     15937      7.79%     71.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     14179      6.93%     78.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     15014      7.34%     85.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     10279      5.02%     90.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9665      4.72%     95.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      6547      3.20%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3203      1.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                204583                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4226     73.06%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     73.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     73.06% # attempts to use FU when none available (Count)
